Country,Country Code,Year,budget_deficit/surplus,capital_expenditure,consumer_price_index_(cpi),defence_expenditure,education_expenditure,expenditure,exports,food_inflation,food_inflation_yoy,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,inflation_rate,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_(vat),debt_to_gdp,rev_exp_ratio,interest_payment_est,primary_balance_est,debt_service_ratio_est,deficit_gdp_ratio,deficit_volatility_3yr,deficit_yoy_change,cumulative_deficit,gdp_per_capita_calc,gdp_growth_efficiency,gdp_real_nominal_gap_pct,exports_gdp_ratio,imports_gdp_ratio,trade_balance_pct_gdp,gdp_volatility_5yr,debt_accumulation_rate,debt_carrying_capacity,debt_stabilization_gap,fiscal_vulnerability_index,debt_shock_sensitivity,interest_burden_ratio,debt_sustainability_score,high_debt_risk,extreme_deficit,interest_coverage_risk,high_debt_risk_int,risk_score
Algeria,DZA,1977,,,101.4325,,,,6.0,5.621666666666667,,5.4,,,,-6.21,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0003269678505591259,-0.0003384117253286953,0.0006653795758878213,,,,,,,,,0,0,0,0,0
Algeria,DZA,1978,,,101.4325,,,,6.3,5.621666666666667,,5.4,,,,-7.32,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.00034331624308708223,-0.00039890077768213363,0.0007422170207692159,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1979,,,101.4325,,,,9.5,5.621666666666667,,5.4,,,,-7.82,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.000517699096718616,-0.0004261480985620608,0.0009438471952806768,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1980,,,101.4325,,,,13.7,5.621666666666667,,5.4,,,,-9.61,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0007465765921100041,-0.0005236935073122,0.0012702700994222042,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1981,,,101.4325,,,,14.1,5.621666666666667,,5.4,,,,-10.11,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0007683744488139459,-0.0005509408281921272,0.001319315277006073,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1982,,,101.4325,,,,13.5,5.621666666666667,,5.4,,,,-9.92,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0007356776637580334,-0.0005405868462577549,0.0012762645100157881,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1983,,,101.4325,,,,12.7,5.621666666666667,,5.4,,,,-9.54,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0006920819503501499,-0.0005198788823890102,0.00121196083273916,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1984,,,101.4325,,,,12.8,5.621666666666667,,5.4,,,,-9.24,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0006975314145261354,-0.0005035304898610539,0.0012010619043871893,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1985,,,101.4325,,,,13.0,5.621666666666667,,5.4,,,,-8.81,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.0007084303428781061,-0.00048009779390431655,0.0011885281367824227,0.0,,,,,,,,0,0,0,0,0
Algeria,DZA,1986,,,101.4325,,,,8.1,5.621666666666667,,5.4,,,,-8.53,5.2025,,,1835042.8,,,,,,,,,,,,,,,,,,,0.00044140659825482,-0.0004648392942115573,0.0009062458924663772,0.0,,,,,,,,0,0,0,0,0
